"Y","Enhanced_GVI_quantification","Transaction_including_the_first_floor_versus_not","Housing_age","Transaction_year","Condominium_versus_not","Apartment_versus_not","Studio_versus_not","Detached_House_versus_not","Storefront_versus_not","Commercial_building_versus_not","mrt_d","school_d","park_d"
93167,10.760972,1,1,108,0,0,0,1,0,0,514.5662722,299.2926086,162.4958686
89665,3.756966,1,1,108,0,0,0,1,0,0,463.5947736,225.6830193,195.1292425
125591,2.445352,1,48,108,0,0,0,1,0,0,832.2989966,600.7636663,160.1538987
116117,2.236513,1,51,108,0,0,0,1,0,0,483.2752468,186.2633233,258.1461423
97558,5.015346,1,44,108,0,0,0,1,0,0,320.9143242,219.3798279,327.6770262
94969,2.018719,1,53,108,0,0,0,1,0,0,567.8466148,495.1426907,299.091049
223577,4.624777,1,79,108,0,0,0,1,0,0,379.8940759,197.1334993,311.7324303
92833,1.01274,1,40,108,0,1,0,0,0,0,377.2198219,367.6667776,222.4458613
93894,9.58351,0,5,108,0,0,0,0,0,0,251.2192037,431.1127136,63.47211679
86083,8.214474,1,46,108,0,0,0,1,0,0,434.7495999,398.8515712,200.1215582
89916,10.347982,0,2,108,0,0,0,0,0,0,161.0638679,76.58517278,238.6308057
130237,2.509059,1,51,108,0,0,0,1,0,0,461.5277659,186.3191311,288.4758819
141693,4.489145,1,31,108,0,0,0,0,1,0,676.1332419,211.5690712,203.5047292
116618,12.349518,1,15,108,0,0,0,1,0,0,376.0730419,388.886856,191.9284975
100513,15.902812,0,2,108,0,0,0,0,0,0,147.9556418,466.3909044,120.0305087
107221,8.582014,1,0,108,0,0,0,1,0,0,487.1895142,80.77312801,271.9369762
98105,9.597589,1,5,107,0,0,0,0,0,0,323.7283345,328.6722282,292.9138256
91637,20.256354,1,2,107,0,0,0,1,0,0,1421.590427,171.5142906,119.7382544
125420,2.95053,1,50,107,0,0,0,1,0,0,1930.379572,314.4207747,465.6175436
147360,4.684867,1,56,107,0,0,0,1,0,0,526.9959328,449.823655,119.7744192
110539,8.582014,1,0,107,0,0,0,1,0,0,502.6171158,81.40056116,285.1600009
186043,18.467197,0,3,107,0,0,0,0,0,0,254.3767881,282.4440838,157.7228933
193107,5.636895,0,27,107,0,0,0,0,1,0,505.8313635,126.9802915,239.9817236
87317,3.054911,0,49,107,0,0,0,0,0,0,744.2220035,429.9677397,156.7672557
85737,10.370221,0,0,107,0,0,0,0,0,0,239.7839818,158.0447376,187.3154611
86653,10.370221,0,0,107,0,0,0,0,0,0,239.7839818,158.0447376,187.3154611
227193,8.214474,1,53,107,0,0,0,1,0,0,366.452378,330.4322061,239.4566735
108057,6.501881,1,2,107,0,0,0,0,0,0,928.1099006,331.6480151,92.94585004
89533,10.370221,1,48,107,0,0,0,1,0,0,192.1091419,267.8413129,183.0805912
148184,9.866944,1,24,107,0,0,0,0,1,0,293.2206774,347.9461583,188.3186158
96783,4.299788,1,53,107,0,0,0,1,0,0,385.5147649,263.0925094,225.2085748
87924,2.488783,1,47,107,0,0,0,1,0,0,367.9108348,331.3633927,245.2505827
126396,6.959718,1,39,107,0,1,0,0,0,0,78.71036123,504.7528507,299.0008364
88254,7.424236,1,39,107,0,1,0,0,0,0,393.0199522,215.5118806,146.221771
90185,7.85556,1,4,107,0,0,0,1,0,0,927.9873325,389.8940984,82.5109666
107725,1.675262,1,45,107,0,0,0,1,0,0,338.5581001,234.2188125,142.3208801
115159,7.424236,1,39,107,0,0,0,0,1,0,396.1492255,216.5670677,167.895951
102867,5.97695,1,39,107,0,1,0,0,0,0,1010.242781,443.2209341,265.6975523
160887,17.786094,1,2,107,0,0,0,0,0,0,1009.330608,634.4636447,183.3309712
121199,2.487143,1,56,107,0,0,0,1,0,0,67.70348104,432.9660206,197.820773
122395,5.435491,1,47,107,0,0,0,1,0,0,521.2965577,203.2205439,92.25911526
506146,1.848073,1,61,107,0,0,0,1,0,0,831.5382122,376.4102178,536.6693621
87235,12.31571,1,24,107,0,0,0,1,0,0,1167.265775,194.5574144,165.4050471
101493,5.954073,1,31,107,0,0,0,0,1,0,647.0350586,194.0114043,412.3765544
141829,11.797868,1,2,107,0,0,0,0,1,0,358.0121255,205.0223866,58.52249789
