"Y","Enhanced_GVI_quantification","Transaction_including_the_first_floor_versus_not","Housing_age","Transaction_year","Condominium_versus_not","Apartment_versus_not","Studio_versus_not","Detached_House_versus_not","Storefront_versus_not","Commercial_building_versus_not","mrt_d","school_d","park_d"
39782,11.088648,0,34,108,0,0,0,0,0,0,257.353154,393.1885567,135.1955106
44600,3.113511,0,19,108,0,0,0,0,0,0,551.0079631,535.8417716,165.93059
42763,31.377469,0,5,108,0,0,0,0,0,0,980.8098893,518.1157901,104.2907061
36865,2.359494,0,39,108,0,1,0,0,0,0,279.0937768,258.4306895,268.8369384
31746,14.312557,0,27,108,0,0,0,0,0,1,109.2398249,445.0491207,185.5571711
43371,2.102895,0,12,108,1,0,0,0,0,0,379.5894166,530.4830088,166.9355731
15366,7.564284,0,27,108,0,0,1,0,0,0,336.8897705,95.61072881,292.2254511
34690,2.935263,1,35,108,0,1,0,0,0,0,764.08754510000006,582.772122,222.304031
39096,1.90387,0,38,108,0,0,0,0,0,0,379.3303621,286.0204812,205.6081589
33800,3.872178,0,24,108,0,0,1,0,0,0,285.1278201,495.7257951,412.9063228
7244,7.687826,0,33,108,0,0,1,0,0,0,442.887816,589.9761204,36.43945983
38978,8.124623,0,22,108,0,0,0,0,0,0,216.7445937,283.8234299,178.0966279
43358,15.911486,0,48,108,0,1,0,0,0,0,484.9150738,122.2513503,108.9819396
18845,13.428333,0,17,108,0,0,1,0,0,0,1647.602781,412.3871321,396.4646423
31650,12.794802,0,38,108,0,1,0,0,0,0,764.0244751,312.0952357,454.8884345
16199,4.698828,1,52,108,0,0,0,1,0,0,573.1509103,392.2940676,244.21542350000001
36548,1.816786,0,28,108,1,0,0,0,0,0,1526.627789,422.0069679,375.6173582
22473,4.734554,0,35,108,0,1,0,0,0,0,1686.568721,830.4745959,196.1340151
23441,10.429367,0,40,108,0,1,0,0,0,0,412.1748361,205.7195094,116.5764779
42254,10.370221,0,25,108,0,0,1,0,0,0,196.7700363,234.2322737,111.1051783
31272,3.685116,0,37,108,0,1,0,0,0,0,1474.277195,605.0808666,159.7111523
26463,12.416037,0,28,108,0,0,0,0,0,0,289.352636,647.8821587,80.82182951
31847,7.564284,0,38,108,1,0,0,0,0,0,232.8323772,206.5432143,149.8538561
44868,8.011008,0,22,108,0,0,0,0,0,0,675.0766295,349.1406893,92.75358508
48560,11.472996,0,30,108,0,0,0,0,0,0,225.1169649,234.8968344,128.6526731
24430,5.954073,1,31,108,0,0,0,0,0,0,599.1900103,302.0116206,214.057007
45472,11.826242,0,2,108,0,0,0,0,0,0,954.9369952,213.5532847,70.57224663
41414,11.826242,0,2,108,0,0,0,0,0,0,943.0621345,233.6809154,90.36953517
23662,15.784974,1,14,108,0,0,0,1,0,0,1902.781368,244.1874563,91.15547443
35552,2.241304,0,27,108,0,0,0,0,0,0,414.5279111,338.8203218,140.8255536
46697,2.922126,0,40,108,0,1,0,0,0,0,673.6671429,462.6545072,420.7819335
48625,3.957517,1,44,108,0,0,0,1,0,0,147.5524274,284.0031723,345.1108447
15106,2.725051,0,33,108,0,0,1,0,0,0,427.532922,414.596186,77.27991829
37498,10.983424,0,23,108,0,0,0,0,0,0,1116.595404,508.7509546,104.7389299
39916,31.377469,0,6,108,0,0,0,0,0,0,998.1013481,527.163932,97.40531374
33455,8.522902,0,36,108,0,0,1,0,0,0,144.9690537,154.0892893,47.22933088
31236,6.101492,0,34,108,0,1,0,0,0,0,268.0106186,177.6916493,205.7395066
47281,9.61787,0,34,108,0,0,0,0,0,0,59.60832005,194.9299917,296.9396892
29609,2.222145,0,25,108,1,0,0,0,0,0,1514.638369,226.9541853,294.0613991
17685,7.687826,0,37,108,0,0,0,0,0,0,424.6663776,540.0510287,80.72873317
37283,9.893113,0,24,108,0,0,0,0,0,0,358.2713803,195.8436837,554.135059
28438,2.488783,0,37,108,0,1,0,0,0,0,135.1184888,300.6497993,113.9503946
32498,4.807557,0,15,108,0,0,1,0,0,0,1957.961344,493.4529402,266.8005198
48849,6.475978,0,24,108,0,0,0,0,0,0,141.4384742,620.4753749,156.1422313
32982,4.505965,1,38,108,0,0,0,1,0,0,1958.172765,272.2337345,157.936239
29320,4.185212,0,23,108,0,0,1,0,0,0,1153.37267,670.3982737,356.5966733
32383,20.116607,0,33,108,0,0,0,0,0,0,1625.455752,535.3338459,35.45425937
39925,2.611852,0,36,108,0,0,1,0,0,0,300.2581031,248.946217,187.2552577
46012,2.789891,1,43,108,0,0,0,1,0,0,769.3021475,365.726679,329.9551346
40821,7.099768,0,39,108,0,0,0,0,0,0,301.6676096,385.983713,324.878776
42430,4.61298,0,24,108,0,0,0,0,0,0,180.0993578,586.1760315,276.4427969
7230,3.532525,0,34,108,0,1,0,0,0,0,426.5749124,542.2212865,203.1179678
