"Y","Enhanced_GVI_quantification","Transaction_including_the_first_floor_versus_not","Housing_age","Transaction_year","Condominium_versus_not","Apartment_versus_not","Studio_versus_not","Detached_House_versus_not","Storefront_versus_not","Commercial_building_versus_not","mrt_d","school_d","park_d"
284858,13.449266,0,15,108,0,0,1,0,0,0,705.1160556,264.1627788,212.3875327
264515,4.596401,0,41,108,0,0,0,0,0,0,110.0613148,469.1215421,283.343051
273353,20.701623,0,41,108,0,0,0,0,0,0,266.4638579,388.5833464,445.8657103
268855,20.701623,0,41,108,0,0,0,0,0,0,266.4638579,388.5833464,445.8657103
264077,9.920097,1,33,108,0,0,0,0,0,0,769.2702788,341.908694,184.4805082
309685,6.217269,0,23,108,0,0,0,0,0,1,32.58428543,219.1466271,125.9315434
261758,6.918659,1,38,108,0,0,0,0,1,0,269.0168894,302.3749577,414.3488296
287687,16.961161,1,7,108,0,0,1,0,0,0,297.6451682,212.1256697,261.9657566
265235,7.59462,0,2,108,0,0,0,0,0,0,364.5319859,227.4253814,74.83311757
268038,5.368716,1,39,108,0,1,0,0,0,0,1253.933654,144.7568297,94.42996948
514241,8.551588,1,49,108,0,0,0,1,0,0,283.0356754,180.5740292,197.5678912
268123,19.414267,0,32,108,0,0,1,0,0,0,88.66889062,343.6246883,210.7176289
257132,7.799011,0,6,108,0,0,0,0,0,0,27.68264779,289.2396028,196.1835441
485163,8.588588,1,7,108,0,0,0,0,1,0,213.0825992,183.6833575,63.22964398
814485,7.956414,1,33,108,0,0,0,0,1,0,236.0914446,176.1113899,103.999852
296920,19.414267,0,30,108,1,0,0,0,0,0,88.66889062,343.6246883,210.7176289
257849,9.366225,0,11,108,0,0,1,0,0,0,142.1614659,242.900855,85.52047935
282797,7.568953,1,46,108,0,1,0,0,0,0,776.0169936,297.459035,286.7165314
259301,11.393566,1,41,108,0,0,0,0,0,1,326.6580602,206.1250098,82.58994024
345966,4.805721,1,33,108,0,0,0,0,1,0,231.1733472,470.5500168,112.9357574
284744,14.056314,0,4,107,0,0,0,0,0,0,263.2815856,270.5529787,102.3664646
286055,14.130641,1,45,107,0,1,0,0,0,0,533.6238301,358.4647228,39.50007459
272031,8.800818,0,3,107,0,0,0,0,0,0,651.2594921,385.5810004,214.0643871
254153,11.972101,0,12,107,0,0,0,0,0,0,165.5302578,368.5187597,48.15018271
302647,16.961161,1,7,107,1,0,0,0,0,0,292.6648364,206.8574607,266.9252344
299153,13.320849,0,0,107,0,0,0,0,0,0,126.6767605,107.8267609,147.4197501
314320,29.145224,0,21,107,0,0,0,0,0,0,232.0895434,184.8628895,153.2361445
301568,5.032577,0,10,107,0,0,0,0,0,0,264.2598878,225.3044725,211.9156524
291507,5.630249,0,1,107,0,0,0,0,0,0,303.9573169,118.4781095,93.17090188
292794,8.981635,0,3,107,0,0,0,0,0,0,531.6833293,183.9298414,91.47491695
261732,9.579461,0,1,107,0,0,0,0,0,0,112.1219319,223.0848089,210.0638159
292646,9.886421,0,3,107,0,0,0,0,0,0,507.4600236,183.1894655,87.43024713
309488,6.217269,0,23,107,0,0,0,0,0,1,28.67854197,215.9359247,128.273584
267387,8.800818,0,3,107,0,0,0,0,0,0,651.2594921,385.5810004,214.0643871
319446,6.440549,0,3,107,0,0,0,0,0,0,31.41854977,114.0709122,268.7542986
315768,2.513153,1,1,107,0,0,0,0,0,0,373.38282830000003,332.5120874,199.0364108
401655,14.363016,0,2,107,0,0,0,0,0,0,232.2505183,532.8995759,61.44403106
250527,5.370251,0,1,107,0,0,0,0,0,0,520.4981929,385.3757292,107.8557314
317364,8.430323,0,2,107,1,0,0,0,0,0,188.9795943,289.2680165,198.9320958
319170,6.440549,0,3,107,0,0,0,0,0,0,31.41854977,114.0709122,268.7542986
647510,20.229479,0,4,107,0,0,0,0,0,0,348.1978817,134.6695858,175.2741489
309903,18.242684,0,2,107,0,0,0,0,0,0,610.0820273,165.4211862,158.8788963
355958,2.513153,1,1,107,0,0,0,0,0,0,364.3993738,346.1162855,183.4595993
262773,5.370251,0,1,107,0,0,0,0,0,0,520.4981929,385.3757292,107.8557314
314348,7.35278,0,4,107,0,0,0,0,0,0,188.1219225,84.44054854,110.4114432
249301,9.666162,0,10,107,0,0,0,0,0,0,180.5111315,148.7456215,49.62153047
252678,19.414267,0,31,107,0,0,1,0,0,0,88.66889062,343.6246883,210.7176289
