"Y","Enhanced_GVI_quantification","Transaction_including_the_first_floor_versus_not","Housing_age","Transaction_year","Condominium_versus_not","Apartment_versus_not","Studio_versus_not","Detached_House_versus_not","Storefront_versus_not","Commercial_building_versus_not","mrt_d","school_d","park_d"
152618,19.56915,0,23,108,0,0,0,0,0,0,467.5944637,271.3995758,44.48476277
152249,7.961388,0,44,108,0,1,0,0,0,0,388.5399205,417.9733284,118.3246397
136893,29.473933,0,35,108,1,0,0,0,0,0,2309.981384,991.5418468,239.2840795
130365,5.947753,0,38,108,0,1,0,0,0,0,772.8432217,249.7262732,66.68046428
128283,14.669859,1,42,108,0,1,0,0,0,0,1907.717867,474.4638786,147.6790091
76343,6.452842,0,35,108,0,1,0,0,0,0,465.5288175,279.0473363,243.8147671
3646,7.997166,0,22,108,0,0,0,0,0,0,188.5527261,512.166298,118.8026717
137952,2.587538,1,45,108,0,1,0,0,0,0,225.0370506,445.2407203,138.6933254
58360,12.107167,0,22,108,0,0,0,0,0,0,83.14871512,305.765812,131.3308651
78272,35.376828,0,35,108,0,0,1,0,0,0,629.4326448,343.9439824,31.07396353
122519,8.345729,0,6,108,1,0,0,0,0,0,238.705763,164.1250519,51.60380588
16541,17.172901,0,18,108,0,0,0,0,0,0,839.5995585,421.4432942,47.60454478
91476,3.634588,0,45,108,0,1,0,0,0,0,528.6096177,210.10221430000001,123.4266727
104078,20.772311,1,41,108,0,0,1,0,0,0,155.4811112,82.48975411,127.6337984
149788,9.591103,0,18,108,0,0,1,0,0,0,326.2426238,259.0019201,135.5821325
104299,5.541637,0,50,108,0,1,0,0,0,0,1720.713969,469.4780952,94.35829914
91476,3.634588,0,45,108,0,1,0,0,0,0,528.6096177,210.10221430000001,123.4266727
91476,3.634588,0,45,108,0,1,0,0,0,0,528.6096177,210.10221430000001,123.4266727
43752,15.373819,0,24,108,1,0,0,0,0,0,1774.745219,280.8053189,154.5317652
147059,10.786991,0,39,108,0,1,0,0,0,0,371.5036259,214.3021914,148.8075932
43423,3.075156,0,46,108,0,1,0,0,0,0,1485.255357,305.524288,139.0164312
104578,5.019835,0,44,108,0,1,0,0,0,0,547.4439856,407.4856469,192.5659044
51171,6.361243,0,33,108,1,0,0,0,0,0,460.0818676,387.3126297,242.4650269
86509,17.216806,0,24,108,0,1,0,0,0,0,933.85809,410.102256,291.4775147
150346,11.253831,0,34,108,0,0,0,0,0,0,495.2629387,311.6891135,30.91770205
78208,5.380219,1,56,108,0,0,0,1,0,0,1762.843961,563.4282023,149.1778523
123956,10.996188,0,24,108,1,0,0,0,0,0,351.4421714,170.5406407,130.8330117
63463,3.075156,0,22,108,1,0,0,0,0,0,1581.921712,147.4572947,114.5503868
142140,12.138733,0,36,108,0,0,1,0,0,0,345.7954139,323.4084805,110.2776374
131493,9.614299,0,40,108,0,1,0,0,0,0,376.3634426,220.19770689999999,130.0994218
91605,5.57571,0,32,108,0,1,0,0,0,0,333.5968615,265.861184,87.7053487
